,Unemployed,Gold (Close),USD (Close),Oil (Close),Tourists,Cars,ImportExport,IndustryProd,CommerceInvest
2011-02-01,2150233.0,1339.5999755859375,2.8199,101.73999786376953,1232497.0,67610.0,110.28,110.5,13.7
2011-03-01,2133916.0,1430.699951171875,2.8954,115.41999816894531,1449978.0,67610.0,112.79,106.2,15.1
2011-04-01,2043516.0,1428.0999755859375,2.8224,118.69999694824219,1510034.0,69213.0,111.05,106.5,19.3
2011-05-01,1962587.0,1485.25,2.7942,116.61499786376953,2006688.0,69213.0,106.81,107.9,17.0
2011-06-01,1883299.0,1542.4000244140625,2.766,114.52999877929688,2254963.0,69213.0,105.07,102.5,20.0
2011-07-01,1863175.0,1482.300048828125,2.714,111.7699966430664,2472530.0,63622.0,105.7,101.7,21.1
2011-08-01,1855336.0,1619.0,2.8019,116.80999755859375,2465980.0,63622.0,108.59,107.7,18.2
2011-09-01,1861689.0,1826.0,2.9057,114.29000091552734,2158102.0,63622.0,113.25,107.0,19.4
2011-10-01,1867570.0,1768.5,3.0786499999999997,111.91500091552734,1857400.0,74148.0,113.56,106.3,18.0
2011-11-01,1914936.0,1711.0,3.2516,109.54000091552734,1542736.0,74148.0,114.46,108.0,11.2
2011-12-01,1982676.0,1735.300048828125,3.3294,108.98999786376953,1309922.0,74148.0,114.54,107.7,6.9
2012-01-01,2121518.0,1741.2000122070312,3.2556000000000003,110.27499771118164,1360960.0,77577.0,113.49,108.5,9.2
2012-02-01,2168156.0,1747.0999755859375,3.1818,111.55999755859375,1360374.0,77577.0,111.05,104.6,10.8
2012-03-01,2141906.0,1721.0999755859375,3.0777,126.19999694824219,1567050.0,77577.0,108.47,100.9,16.5
2012-04-01,2072640.0,1691.3999633789062,3.10705,122.93000030517578,1639105.0,71236.0,107.59,102.6,14.6
2012-05-01,2013936.0,1661.699951171875,3.1364,119.66000366210938,2147447.0,71236.0,109.6,104.2,16.2
2012-06-01,1964445.0,1620.5,3.5448,98.43000030517578,2153083.0,71236.0,109.15,101.0,15.9
2012-07-01,1953184.0,1612.0999755859375,3.4512,102.19499969482422,2651820.0,57697.0,107.55,105.2,15.9
2012-08-01,1964706.0,1603.699951171875,3.3576,105.95999908447266,2661899.0,57697.0,104.36,100.2,14.7
2012-09-01,1978987.0,1692.0999755859375,3.2723500000000003,109.07500076293945,2243597.0,57697.0,101.03,95.2,14.1
2012-10-01,1994872.0,1780.5,3.1871,112.19000244140625,1930419.0,66701.0,99.47,104.7,9.6
2012-11-01,2058142.0,1714.0999755859375,3.1829,108.16999816894531,1561283.0,66701.0,98.58,99.5,8.2
2012-12-01,2136815.0,1699.1999918619792,3.1343,111.03333282470703,1358351.0,66701.0,97.05,90.4,3.8
2013-01-01,2295744.0,1684.3000081380208,3.0857,113.89666748046875,1352509.0,75906.0,97.59,100.4,3.7
2013-02-01,2336686.0,1669.4000244140625,3.0597,116.76000213623047,1364136.0,75906.0,99.24,97.9,8.3
2013-03-01,2314453.0,1571.9000244140625,3.1776,110.4000015258789,1490075.0,75906.0,99.16,97.1,8.9
2013-04-01,2255710.0,1600.0,3.2473,111.08000183105469,1665928.0,72085.0,98.43,102.8,10.9
2013-05-01,2176337.0,1446.300048828125,3.1616,99.94999694824219,2171759.0,72085.0,97.25,98.2,8.9
2013-06-01,2109145.0,1351.1000366210938,3.23805,101.4749984741211,2395297.0,72085.0,98.12,102.8,10.5
2013-07-01,2093103.0,1255.9000244140625,3.3145,103.0,2760470.0,65816.0,98.99,106.3,12.7
2013-08-01,2083209.0,1311.0,3.2271,109.54000091552734,2831122.0,65816.0,100.47,102.2,15.0
2013-09-01,2083116.0,1298.5,3.1728,108.7400016784668,2242779.0,65816.0,100.17,106.3,14.1
2013-10-01,2075163.0,1286.0,3.1185,107.94000244140625,2032574.0,77176.0,99.85,104.6,10.7
2013-11-01,2116032.0,1313.0999755859375,3.1132,105.91000366210938,1644771.0,77176.0,99.23,102.9,11.3
2013-12-01,2157883.0,1306.3999755859375,3.06595,105.85200347900391,1449718.0,77176.0,99.44,106.7,7.2
2014-01-01,2260662.0,1299.6999755859374,3.0187,105.79400329589843,1415184.0,52522.0,99.11,104.2,11.0
2014-02-01,2255909.0,1292.9999755859376,3.020966666666667,105.73600311279297,1471216.0,52522.0,98.26,105.3,12.0
2014-03-01,2182205.0,1286.2999755859375,3.023233333333333,105.6780029296875,1656789.0,52522.0,98.41,105.5,15.9
2014-04-01,2079049.0,1279.5999755859375,3.0255,105.62000274658203,1706223.0,77795.0,98.82,105.5,16.5
2014-05-01,1986710.0,1283.0999755859375,3.0245,107.76000213623047,2393934.0,77795.0,98.76,104.4,17.3
2014-06-01,1912541.0,1304.75,3.0328,110.0250015258789,2559119.0,77795.0,97.44,101.8,15.1
2014-07-01,1878520.0,1326.4000244140625,3.0411,112.29000091552734,2888982.0,69525.0,96.92,102.4,15.2
2014-08-01,1853190.0,1293.5999755859375,3.1135,104.83999633789062,3023564.0,69525.0,97.32,98.1,16.9
2014-09-01,1821948.0,1254.0999755859375,3.2016,99.5,2422058.0,69525.0,97.24,104.2,14.5
2014-10-01,1784814.0,1214.5999755859375,3.3071,94.16000366210938,2200460.0,82517.0,98.19,101.7,11.9
2014-11-01,1799779.0,1216.2999877929688,3.3280000000000003,83.35000228881836,1770903.0,82517.0,97.67,100.3,15.5
2014-12-01,1825180.0,1218.0,3.3489,72.54000091552734,1575546.0,82517.0,96.76,108.1,10.7
2015-01-01,1918599.0,1215.5249938964844,3.5415,68.68000030517578,1518140.0,92108.0,96.98,101.6,13.2
2015-02-01,1918727.0,1213.0499877929688,3.6174666666666666,64.81999969482422,1618946.0,92108.0,96.93,105.0,14.3
2015-03-01,1860644.0,1210.5749816894531,3.6934333333333336,60.959999084472656,1751285.0,92108.0,96.72,108.8,16.0
2015-04-01,1782181.0,1208.0999755859375,3.7694,57.099998474121094,1886291.0,86412.0,95.95,102.4,15.1
